t,canola,wheat,durum,barley,oats,corn,soy,lentils,flax,peas
2026-07--13T12:00:00,595.8758586007312,253.62596997960995,281.0650584982882,202.6446213543793,145.5359909939327,156.82887147562428,405.74742706517173,740.7573249875068,565.4045773860236,367.03762191821687
2026-07--12T12:00:00,603.1762607856069,260.46007087162366,290.91635159418087,208.78669385112306,150.08968869974794,162.3026390707592,417.37362770757073,745.556037525572,577.3519604785006,377.2058813374331
2026-07--11T12:00:00,612.1423553051151,273.20275673948504,297.2290455769201,214.26595336652522,157.53977656724513,172.0444445043291,424.33183449444573,758.5522479458906,585.0878690264072,384.42684685497255
2026-07--10T12:00:00,588.8600178220855,246.15105534647486,275.5652395443534,192.79993007302096,137.50905296070016,145.80292443037607,400.316242576125,729.3637578607694,557.4562012127448,358.3251393404481
2026-07--9T12:00:00,624.7848582181447,280.2441214764369,309.05595451863906,229.70221956556492,171.32710597379904,181.3591987026798,434.14515508460744,767.4899798322732,598.5080404262535,397.2763252114581
2026-07--8T12:00:00,605.1844191766764,264.78234807519004,289.1380022500595,208.93431993803384,155.84472739130752,163.7475858466125,416.9992857501358,750.7652727934271,578.7146988086267,378.8135867567654
2026-07--7T12:00:00,619.4468708727164,277.39698769764675,304.8607146651465,223.0201664708102,170.66172769530257,180.26247516812828,430.6423366940831,765.6869014010615,591.1280608156562,394.7415549477355
2026-07--6T12:00:00,613.758892084723,269.89937613189863,299.53781989071365,216.24606073687235,161.42712702707598,173.3065483873496,424.06601411657715,755.9855356406783,587.6548367247053,385.22676884779355
2026-07--5T12:00:00,625.7826876508132,282.40788418036874,313.26466564848334,232.75246558444258,173.7829491990629,181.63115563517655,437.28970511730404,773.9767176797054,598.1746754688596,401.32645966394654
2026-07--4T12:00:00,601.9543255112702,262.4597702957745,289.9757015937728,207.60726136206608,149.23639051932855,161.48121017109216,412.0547524211886,746.9940308836279,574.1077816175886,377.6083349447398
2026-07--3T12:00:00,604.8047460931607,262.4779284669559,288.29632307183493,211.2001788247231,154.19752320767478,160.76508053734597,416.55810875785016,749.3782330572832,573.641447399952,377.79947658910504
2026-07--2T12:00:00,619.299456513374,274.05981967476174,298.6311290183583,219.0726339836187,160.49455809590566,175.95228933917835,429.40002890852975,762.1176908177578,585.9727823940066,384.9752486405558
2026-07--1T12:00:00,612.475437493279,263.5576615338982,293.7096836013906,209.7090159323012,157.10735381303428,167.13874739733282,417.0640896084895,752.1454350900833,579.5925623824606,378.3840805951313
2026-07-00T12:00:00,611.2917850935313,266.2737466849784,295.9887339850027,215.6325438668658,155.70986383266413,166.37325520013133,424.2238535922913,755.1522257981627,580.881557955813,381.85841249853945
2026-07-01T12:00:00,629.944083321351,286.87441267204633,316.125751609905,232.47658769474108,175.66720360587098,184.77185781521584,441.8825170427822,772.4695500020285,603.5284193771984,403.7537117006841
2026-07-02T12:00:00,631.8337374337193,290.66957629728296,315.69113047172794,233.69958071985545,181.76879507098934,189.58196818745702,442.7417357853761,777.6134261732499,604.7506916141051,401.5481691136766
2026-07-03T12:00:00,633.0507599956329,289.25592463931423,317.26660090941476,237.3389079979538,180.25464018495452,192.1194441693905,440.5549601281065,775.3801805938083,602.0002685335645,405.63448811931147
2026-07-04T12:00:00,629.2924549391993,287.0928827755532,314.68249132756085,232.32247235655606,175.400040175847,189.4407950842105,440.3099859588752,775.8192961171254,600.9531533632535,398.45473146570373
2026-07-05T12:00:00,620.5290810790506,277.57689311227944,305.0711174666197,223.10508997505676,162.2607822321944,174.17676232127522,426.295399363766,760.4191573238676,585.3647279684039,387.7867542824324
2026-07-06T12:00:00,619.3336224266675,278.69682768932597,304.4724542816694,222.7804489935755,169.23630992279254,179.4649402145908,430.57701401806827,764.5528537294125,588.171185029279,389.52265103060193
2026-07-07T12:00:00,623.4444412703602,279.47253073370825,308.457212887737,222.8123511629075,169.22442509221642,178.7364618229797,434.58567887775234,763.4139558930996,595.2340329451093,390.4500283169061
2026-07-08T12:00:00,636.0615736654604,292.79263834838474,317.9025863967658,235.710682710443,183.58308691153687,189.718655113492,445.55847794796085,778.7076520887529,604.5067125187755,405.9933967625076
2026-07-09T12:00:00,634.8348449600351,286.7021626101577,317.52375821835295,233.15872312931157,177.35132249436404,189.00674875137634,440.52658989240905,773.6236705912477,603.237794368103,399.6618661005754
2026-07-10T12:00:00,637.1787286576315,293.4145806996354,315.62756633910266,234.9669278861071,178.52920450100726,192.5375582804671,445.9731870546235,778.9636234674122,602.9051645449382,402.1344830066482
